Episode,numberSteps,totalReward,averageSpeed,gameEndedByCrush,IsClockwise
1,210,34.373104,130.133987,1,1
2,308,90.012924,140.873383,1,0
3,193,35.684738,148.01326,1,1
4,238,53.726559,197.664185,1,0
5,205,39.173447,154.585907,1,1
6,215,67.599037,207.327057,1,0
7,177,42.269585,159.953949,1,1
8,274,85.057556,177.299973,1,0
9,242,-15.306826,102.136375,1,1
10,322,69.533432,115.685715,1,0
11,234,21.131453,111.830772,1,1
12,369,69.430374,126.59613,1,0
13,254,61.804314,135.676834,1,1
14,167,48.79414,206.887772,1,0
15,134,26.137508,199.789902,1,1
16,189,73.922333,251.819458,1,0
17,165,66.135918,197.829361,1,1
18,186,74.224022,229.636124,1,0
19,147,44.393459,167.823883,1,1
20,207,53.108959,177.425873,1,0
21,174,63.702629,175.616898,1,1
22,210,61.464378,215.815445,1,0
23,192,46.161495,190.188965,1,1
24,131,46.092777,256.036438,1,0
25,154,56.91058,191.891754,1,1
26,226,88.080177,218.37384,1,0
27,150,37.755089,163.451126,1,1
28,167,63.073097,273.179199,1,0
29,176,69.206894,194.355362,1,1
30,150,66.338043,257.629517,1,0
31,201,41.183723,175.28389,1,1
32,197,77.835518,213.592743,1,0
33,124,44.721966,255.578629,1,1
34,135,48.888187,240.211929,1,0
35,158,21.164934,136.224258,1,1
36,130,59.844772,280.062744,1,0
37,139,61.406677,233.3181,1,1
38,138,67.141167,295.361145,1,0
39,111,33.122162,197.574356,1,1
40,153,53.956268,231.966934,1,0
41,144,32.70285,145.761337,1,1
42,155,83.555145,308.164948,1,0
43,156,57.677593,185.494644,1,1
44,157,67.144485,291.568085,1,0
45,91,47.413425,261.68457,1,1
46,172,65.196632,217.976288,1,0
47,126,36.380955,206.853165,1,1
48,125,47.596184,215.448212,1,0
49,143,52.76815,252.601562,1,1
50,130,52.566986,287.948273,1,0
51,143,51.19566,178.167175,1,1
52,148,59.134476,246.228958,1,0
53,139,13.062525,216.627747,1,1
54,205,36.580235,191.434189,1,0
55,154,18.707151,181.272354,1,1
56,172,43.119518,238.097641,1,0
57,147,62.025253,177.682312,1,1
58,165,99.73465,309.427826,1,0
59,162,59.77433,145.639099,1,1
60,131,57.365433,281.058411,1,0
61,124,54.066616,254.337311,1,1
62,168,80.669258,292.183533,1,0
63,486,247.850113,194.298477,1,1
64,379,227.765091,282.15921,1,0
65,178,83.512993,184.717209,1,1
66,158,80.169983,300.604218,1,0
67,100,63.984795,322.151062,1,1
68,134,72.335503,337.833923,1,0
69,149,77.053886,259.148376,1,1
70,128,81.660942,289.956238,1,0
71,125,55.395424,247.474045,1,1
72,423,287.867981,377.870941,1,0
73,125,48.13858,191.579178,1,1
74,299,174.384018,308.135468,1,0
75,148,85.613541,265.942535,1,1
76,121,78.753555,316.985504,1,0
77,147,81.282181,278.338013,1,1
78,417,282.897278,341.88623,1,0
79,519,364.736542,364.497345,1,1
80,268,182.656265,370.423523,1,0
81,309,184.259384,273.565613,1,1
82,141,69.72068,281.513458,1,0
83,107,63.90126,294.563843,1,1
84,264,179.932205,378.531769,1,0
85,641,481.687408,401.361633,1,1
86,339,281.915222,450.844116,1,0
87,137,55.360985,205.347214,1,1
88,255,192.226669,372.570374,1,0
89,136,86.32991,307.786346,1,1
90,159,90.095482,311.693634,1,0
91,698,568.970154,420.880859,1,1
92,259,192.054291,391.265106,1,0
93,864,691.204712,430.112732,1,1
94,122,73.338554,298.686737,1,0
95,95,30.795677,250.876587,1,1
96,853,764.767578,480.717621,1,0
97,537,414.09964,360.481506,1,1
98,1085,955.639648,478.009796,1,0
99,750,585.557922,399.232361,1,1
100,595,487.641144,436.423096,1,0
101,1243,1159.632446,496.489227,1,1
102,1047,970.264221,487.831482,1,0
103,466,400.198059,429.167511,1,1
104,2000,1906.107788,504.054413,0,0
105,2000,1966.041504,514.77002,0,1
106,2000,1936.900269,506.05011,0,0
107,2000,2031.768066,517.935364,0,1
108,2000,2032.683472,521.141174,0,0
109,2000,2067.320801,535.460266,0,1
110,2000,2081.661133,528.781189,0,0
111,2000,2064.153076,518.825989,0,1
112,2000,2090.673584,526.986755,0,0
113,2000,2101.611084,532.905884,0,1
114,2000,2067.677246,522.438232,0,0
115,2000,2050.081055,520.440735,0,1
116,2000,2065.394531,520.996826,0,0
117,252,171.750641,313.443787,1,1
118,2000,2059.208496,522.853821,0,0
119,2000,2120.731934,537.116455,0,1
120,2000,2038.4375,513.768005,0,0
121,1670,1701.304565,513.002197,1,1
122,655,653.183838,503.627625,1,0
123,91,69.483482,260.847992,1,1
124,423,362.680969,463.719696,1,0
125,2000,2072.473145,517.586243,0,1
126,2000,2059.383301,511.791321,0,0
127,2000,2081.742676,526.671387,0,1
128,2000,2051.651123,509.72464,0,0
129,2000,2055.652344,516.125916,0,1
130,2000,2074.134277,515.71582,0,0
131,2000,2048.054932,518.326599,0,1
132,2000,2035.902344,509.451141,0,0
133,2000,2026.963013,507.880798,0,1
134,2000,2050.71582,516.508972,0,0
135,117,95.014328,245.823914,1,1
136,2000,2024.825073,504.612762,0,0
137,1790,1827.745483,513.456787,1,1
138,2000,2073.532227,520.616394,0,0
139,2000,2066.410889,518.055298,0,1
140,1718,1760.710938,518.721985,1,0
