AvgR,LbR,UbR,AvgS,LbS,UbS
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
52.48880851851852,49.95470572796156,55.022911309075475,154.17518674074074,127.1159915114449,181.23438197003657
54.92579988888889,51.63890863439668,58.2126911433811,164.3079995185185,138.27041626701543,190.34558277002157
54.57416162962963,51.641927756357354,57.5063955029019,165.58743118518518,139.90208731638575,191.27277505398462
54.08235677777777,48.37940550822334,59.785308047332194,167.36366670370373,140.09171153666514,194.6356218707423
52.27351211111111,46.512899012888894,58.034125209333325,168.7067879259259,139.72060389315436,197.69297195869746
53.73895985185186,47.45958374438362,60.0183359593201,172.16445274074076,142.09558385041476,202.23332163106676
51.82306111111111,44.796292451572796,58.84982977064942,170.96385866666665,138.66969231031405,203.25802502301926
52.065170333333334,45.13767408969227,58.9926665769744,175.94956148148148,144.40751358057202,207.49160938239095
51.740760296296294,44.24258653812135,59.23893405447124,173.39516733333335,141.71114622629585,205.07918844037084
53.777048925925925,43.87537875015606,63.67871910169579,176.4339427037037,147.29562966014544,205.57225574726198
49.66143703703704,41.38481137562928,57.938062698444796,170.8336548888889,133.31696392430106,208.35034585347674
52.13161955555555,41.35855534590884,62.904683765202265,172.9606125555556,139.33499072994138,206.58623438116982
53.402393962962954,42.429287180522785,64.37550074540312,174.10725688888888,140.06563968241474,208.14887409536303
56.25354488888888,43.27578562558168,69.23130415219607,178.86260881481482,147.39655507018287,210.32866255944677
56.17870803703704,44.79831628894324,67.55909978513084,174.0761507037037,137.2044340743492,210.94786733305818
58.204128851851856,42.74717669117868,73.66108101252503,177.00004214814817,139.42343781784203,214.5766464784543
60.65525977777778,42.87876402678319,78.43175552877237,174.66714985185186,133.1033326666703,216.23096703703342
64.40387911111111,45.41212586308768,83.39563235913454,182.6042435185185,134.8463082676775,230.3621787693595
65.34574566666667,45.478178530548654,85.21331280278469,181.738726,130.95100413238066,232.52644786761937
69.8640068888889,48.61303197330494,91.11498180447285,184.76011855555555,138.68266584528646,230.83757126582464
68.1022127037037,49.12138425383533,87.08304115357207,188.74810648148147,138.1776634348587,239.31854952810426
70.16687762962964,50.79684721713795,89.53690804212133,194.16662622222225,145.05563680811355,243.27761563633095
70.03436607407407,53.69978948040286,86.36894266774527,190.58993781481482,142.56297789768837,238.61689773194126
71.24678637037037,53.732074643105136,88.76149809763561,202.51386796296296,164.59118410303162,240.4365518228943
78.0543112962963,53.71187833099614,102.39674426159647,201.60741366666664,161.83602789502234,241.37879943831095
76.15543555555557,52.901478244611354,99.40939286649979,204.90892425925927,169.97489353537173,239.8429549831468
94.84293811111111,43.802697888592,145.8831783336302,202.127464,169.70658958525303,234.54833841474698
97.93938851851851,41.29175299403411,154.5870240430029,208.85126355555556,180.8254883272646,236.87703878384653
103.53028596296298,39.45300794398595,167.60756398194002,201.74312174074075,172.3189821302021,231.1672613512794
136.9685421111111,23.936064016517605,250.0010202057046,208.12194096296295,180.0976483027174,236.1462336232085
146.90831407407407,17.714868085791352,276.1017600623568,205.06820681481483,176.98731608290302,233.14909754672664
147.51018177777777,17.813082760280395,277.20728079527515,212.60733314814817,188.21609652363048,236.99856977266586
144.68264351851852,14.990865761894355,274.3744212751427,206.22385999999997,182.6950049331183,229.75271506688165
164.84802125925927,5.084447958938597,324.61159455957994,213.82126137037037,191.54799287747034,236.0945298632704
165.7682877037037,7.359671227127194,324.1769041802802,211.86897959259258,191.938497255409,231.79946192977616
151.68098355555554,16.81354816274333,286.5484189483677,220.12973137037037,205.91868553243188,234.34077720830885
178.28621592592592,1.506178686587674,355.06625316526413,225.635324,211.18747521190832,240.08317278809167
173.95455529629626,4.437157084851123,343.47195350774143,239.47478848148148,221.53939451103741,257.41018245192555
142.0126556666667,23.63465320179023,260.39065813154315,225.87447407407407,214.08302346452413,237.665924683624
132.24746666666667,32.3423175924307,232.15261574090263,228.4633118888889,220.86267609388983,236.063947683888
