Episode,numberSteps,totalReward,averageSpeed,gameEndedByCrush,IsClockwise
1,332,54.044224,123.011261,1,1
2,294,77.965126,122.040833,1,0
3,373,69.855675,108.401917,1,1
4,347,73.665657,126.124481,1,0
5,318,54.58287,112.992607,1,1
6,320,59.309952,103.878967,1,0
7,291,69.26841,155.75972,1,1
8,306,68.51899,143.976822,1,0
9,149,26.858286,121.626205,1,1
10,317,81.589645,130.540482,1,0
11,228,67.076447,161.488327,1,1
12,304,83.610718,151.154999,1,0
13,338,83.146271,129.005997,1,1
14,295,73.577293,148.497726,1,0
15,340,100.18129,136.989746,1,1
16,325,61.405632,130.856964,1,0
17,192,53.70158,191.577713,1,1
18,277,79.475555,148.390198,1,0
19,227,66.858994,173.940475,1,1
20,253,119.214859,197.57251,1,0
21,258,58.048878,164.748489,1,1
22,315,110.93235,118.52153,1,0
23,301,70.08268,133.138733,1,1
24,233,62.559021,151.751007,1,0
25,200,62.250664,205.00383,1,1
26,314,98.72097,141.441238,1,0
27,194,38.798721,173.532928,1,1
28,246,59.949684,148.497543,1,0
29,206,77.06691,184.563965,1,1
30,209,72.551727,167.995239,1,0
31,241,81.824486,191.464737,1,1
32,206,82.590881,214.936096,1,0
33,219,75.19455,195.016891,1,1
34,229,90.830536,152.374542,1,0
35,182,52.826736,190.747452,1,1
36,168,81.527634,255.254425,1,0
37,172,80.646088,247.82515,1,1
38,184,80.272675,182.61441,1,0
39,250,98.806526,137.113998,1,1
40,209,92.469536,175.604858,1,0
41,165,75.578377,227.557571,1,1
42,239,108.398521,224.398727,1,0
43,286,113.588509,139.576813,1,1
44,194,93.039589,227.125763,1,0
45,196,86.193794,238.381622,1,1
46,166,88.709244,292.666321,1,0
47,206,106.640472,185.216873,1,1
48,204,97.232018,198.235886,1,0
49,226,91.288017,208.55571,1,1
50,146,69.810577,300.86618,1,0
51,179,85.369377,205.489807,1,1
52,212,105.370728,183.99353,1,0
53,148,74.443893,260.967163,1,1
54,355,204.812714,294.980621,1,0
55,184,78.988625,243.687866,1,1
56,197,113.780922,233.569717,1,0
57,159,84.308571,244.171387,1,1
58,346,215.062454,319.596741,1,0
59,143,87.413513,326.524384,1,1
