epoch,numberSteps,totalReward,averageSpeed,gameEndedByCrush
190,118,-34.449837,317.268097,1
191,136,-14.099052,392.092133,1
192,757,573.205566,515.345093,1
193,186,34.669601,353.705688,1
194,72,-52.727158,210.375778,1
195,99,-76.36174,306.141754,1
196,979,757.01886,526.768127,1
197,228,27.165337,245.476944,1
198,205,64.041,425.355499,1
199,128,-26.70652,338.990234,1
200,118,-45.519859,305.202881,1
201,209,-35.3424,187.149002,1
202,207,-7.756683,249.393417,1
203,120,-37.546638,341.328796,1
204,201,37.154999,280.011536,1
205,53,-77.614075,143.4375,1
206,199,-36.592354,206.03949,1
207,351,74.939133,288.889587,1
208,222,-61.444778,90.771507,1
209,148,-66.737122,143.754318,1
210,131,-77.758362,157.854279,1
211,184,9.451035,308.873016,1
212,87,-67.614578,198.816681,1
213,102,-92.054413,200.783249,1
214,227,-29.260605,198.922607,1
215,299,61.655502,323.046967,1
216,105,-35.093201,264.446655,1
217,141,-17.081238,369.191742,1
218,169,21.929176,345.390106,1
219,126,-72.185867,294.333038,1
220,912,683.564026,532.252319,1
221,129,-39.394981,350.944641,1
222,106,-75.100594,317.172455,1
223,292,162.546417,431.068359,1
224,315,161.414093,408.63382,1
225,108,-77.522919,148.440491,1
226,147,-43.096409,267.922821,1
227,182,49.541702,347.560181,1
228,116,-90.583328,283.877502,1
229,41,-92.891205,139.713348,1
230,61,-58.189278,164.683411,1
231,188,34.315536,329.152008,1
232,96,-59.045502,238.107895,1
233,119,-44.308384,333.009308,1
234,168,4.142334,326.606293,1
235,141,-29.414711,345.002411,1
236,185,44.327972,331.425507,1
237,94,-43.938076,199.701797,1
238,598,465.444458,507.431641,1
239,134,-52.578892,223.767059,1
240,78,-61.769283,182.020325,1
241,58,-79.098122,208.558914,1
242,241,25.515778,373.721466,1
243,60,-78.851646,145.120712,1
244,272,56.579544,386.466034,1
245,82,-37.323944,197.040344,1
246,123,-44.265095,323.442535,1
247,181,15.806656,382.939056,1
