Episode,numberSteps,totalReward,averageSpeed,gameEndedByCrush,IsClockwise
1,307,59.16378,127.506805,1,1
2,291,61.222351,144.988312,1,0
3,306,36.023529,110.703026,1,1
4,335,55.164597,116.811371,1,0
5,334,52.60545,123.824684,1,1
6,192,62.540756,172.364014,1,0
7,248,58.984367,175.748154,1,1
8,328,58.587029,126.812096,1,0
9,340,53.30798,114.30777,1,1
10,288,65.718987,121.535835,1,0
11,334,44.385426,114.74379,1,1
12,276,90.56765,156.624496,1,0
13,319,55.893349,134.109253,1,1
14,253,49.149014,134.376648,1,0
15,277,72.962524,120.679886,1,1
16,298,50.760326,143.823303,1,0
17,252,43.255806,133.964081,1,1
18,220,55.886257,185.285141,1,0
19,182,40.875519,188.760117,1,1
20,248,49.93787,149.313004,1,0
21,198,84.651184,218.407715,1,1
22,198,48.629326,171.263931,1,0
23,253,96.379898,153.995056,1,1
24,271,64.62455,170.51236,1,0
25,247,88.033905,187.11351,1,1
26,254,88.971474,172.94635,1,0
27,239,72.771996,133.087143,1,1
28,264,101.596291,158.610199,1,0
29,178,75.024681,242.836395,1,1
30,270,81.137299,124.026894,1,0
31,227,70.635696,153.365143,1,1
32,267,73.816071,160.783081,1,0
33,205,77.80658,216.815536,1,1
34,183,88.234428,247.334061,1,0
35,238,98.895142,173.170654,1,1
36,132,74.393402,274.995422,1,0
37,152,66.46917,228.087921,1,1
38,152,53.123085,238.724564,1,0
39,171,77.751022,254.809464,1,1
40,231,108.323334,208.54689,1,0
41,237,76.649185,161.702805,1,1
42,151,66.053169,288.27774,1,0
43,185,96.78376,286.991943,1,1
44,204,87.363686,184.557159,1,0
45,183,62.118729,213.833054,1,1
46,206,87.478729,179.6819,1,0
47,173,95.413651,265.165741,1,1
48,211,90.234085,217.19841,1,0
49,164,84.579811,278.631348,1,1
50,183,57.583168,201.11618,1,0
51,131,58.160667,248.93071,1,1
52,268,111.064987,191.951538,1,0
53,341,206.678391,298.598755,1,1
54,143,69.2005,260.439575,1,0
55,327,138.008545,152.137741,1,1
56,183,108.244537,270.859131,1,0
57,170,96.607101,271.835449,1,1
58,122,72.298859,282.470612,1,0
59,144,85.135971,270.360992,1,1
60,160,93.978699,294.883362,1,0
61,151,100.446541,327.977264,1,1
62,189,96.558105,241.98381,1,0
63,127,66.340317,292.138306,1,1
64,190,107.44426,230.672241,1,0
65,154,83.514763,277.777252,1,1
66,1068,768.854553,381.246185,1,0
67,161,87.88002,254.700287,1,1
68,161,100.763092,326.395447,1,0
69,463,322.199341,353.1521,1,1
70,162,88.534134,287.414825,1,0
71,185,99.205444,276.345947,1,1
72,305,203.294724,304.877411,1,0
73,174,95.838272,272.514038,1,1
74,122,78.692886,320.574249,1,0
75,286,210.087357,356.485596,1,1
76,544,416.981354,395.808533,1,0
77,415,334.980316,402.824585,1,1
78,134,77.845398,324.470245,1,0
79,151,90.734352,321.697083,1,1
80,133,80.112167,329.943787,1,0
81,358,224.671143,304.27536,1,1
82,275,201.555099,364.413971,1,0
83,149,106.149689,355.339722,1,1
84,149,103.801262,315.723297,1,0
85,450,324.370422,345.475983,1,1
86,1084,886.162598,435.28656,1,0
87,129,83.025146,291.103333,1,1
88,1142,996.653442,456.72641,1,0
89,133,100.921837,357.576111,1,1
90,878,758.259583,447.72757,1,0
91,123,94.186996,362.887817,1,1
92,508,430.349152,440.491608,1,0
93,1409,1329.320312,496.751862,1,1
94,498,448.705078,445.625885,1,0
95,243,200.900803,413.329407,1,1
96,1193,1072.936768,473.679382,1,0
97,147,89.752716,316.897064,1,1
98,2000,1930.657593,503.278351,0,0
99,2000,1973.817627,513.5578,0,1
100,2000,1985.829102,517.564453,0,0
101,2000,2014.297363,526.098511,0,1
102,2000,2059.277588,529.237305,0,0
103,2000,2024.121094,521.060852,0,1
104,2000,2065.450439,529.473938,0,0
105,2000,2092.668457,530.733521,0,1
106,2000,2051.352539,531.476135,0,0
107,2000,2119.965088,537.931885,0,1
108,2000,2097.692139,534.945374,0,0
109,2000,2073.42041,530.459778,0,1
110,2000,2064.155762,528.628296,0,0
111,1596,1626.325073,523.525818,1,1
112,2000,2090.121582,532.161133,0,0
113,2000,2111.955078,534.426392,0,1
114,2000,2075.750488,529.674622,0,0
115,2000,2107.33374,535.316711,0,1
116,1702,1770.276245,535.515808,1,0
117,2000,2095.052246,529.625366,0,1
118,2000,2067.812256,529.256165,0,0
119,2000,2081.051514,532.476685,0,1
120,342,320.090576,450.291718,1,0
121,2000,2099.655029,539.377258,0,1
122,957,972.088684,519.962769,1,0
123,1260,1303.748291,522.764709,1,1
124,1774,1849.506592,536.703979,1,0
125,2000,2080.51416,536.156677,0,1
126,663,663.812866,507.592468,1,0
127,2000,2029.407349,527.604858,0,1
128,1481,1526.932495,529.909241,1,0
129,662,648.881775,505.278473,1,1
130,1295,1305.66333,514.414673,1,0
131,2000,2069.205811,534.102173,0,1
132,2000,2091.995117,532.646851,0,0
133,2000,2100.852539,530.625732,0,1
134,2000,2083.165039,534.132629,0,0
135,2000,2086.61084,529.60614,0,1
136,2000,2092.549561,535.376709,0,0
137,2000,2067.00293,529.401978,0,1
138,2000,2091.713135,535.755615,0,0
139,2000,2095.904053,535.151367,0,1
140,2000,2087.81958,528.859802,0,0
141,2000,2092.69751,535.550049,0,1
142,2000,2085.232422,529.416992,0,0
143,2000,2082.713379,527.104736,0,1
144,2000,2102.692139,536.39624,0,0
145,2000,2091.853027,531.676392,0,1
146,2000,2066.954346,533.227173,0,0
147,2000,2101.031738,542.114563,0,1
148,2000,2090.491455,533.195435,0,0
149,1453,1524.587524,536.400635,1,1
