Episode,numberSteps,totalReward,averageSpeed,gameEndedByCrush,IsClockwise
1,236,44.736706,170.308289,1,1
2,302,62.032516,161.263245,1,0
3,174,40.261303,149.941635,1,1
4,250,60.77713,175.548279,1,0
5,163,18.783291,151.836899,1,1
6,212,65.8526,178.313385,1,0
7,173,39.918659,177.637115,1,1
8,214,58.793701,192.641556,1,0
9,138,11.534843,159.569595,1,1
10,194,36.248489,186.075439,1,0
11,151,7.545726,171.918518,1,1
12,223,61.288956,217.00293,1,0
13,152,19.058487,161.938232,1,1
14,198,51.068115,186.059021,1,0
15,154,29.093796,135.977814,1,1
16,192,59.438774,238.54155,1,0
17,144,38.268585,212.29184,1,1
18,232,72.49044,222.281906,1,0
19,162,55.400932,215.297592,1,1
20,187,65.907875,249.753403,1,0
21,144,38.063011,212.021423,1,1
22,163,64.814995,272.40329,1,0
23,121,24.947247,216.113495,1,1
24,155,42.764603,253.978577,1,0
25,153,59.55513,238.129547,1,1
26,177,76.408539,276.286926,1,0
27,139,53.242695,261.885925,1,1
28,125,48.453594,276.023163,1,0
29,113,24.733124,232.110703,1,1
30,118,52.309151,301.032135,1,0
31,104,10.028419,231.687088,1,1
32,175,49.358368,293.339081,1,0
33,91,16.870045,294.924683,1,1
34,180,61.687576,279.883057,1,0
35,119,37.801716,274.892029,1,1
36,178,65.415047,256.251587,1,0
37,108,40.55534,275.618561,1,1
38,159,38.06226,258.624298,1,0
39,80,27.265064,286.061035,1,1
40,163,65.688049,265.983521,1,0
41,123,34.105648,290.065277,1,1
42,144,44.851833,265.732422,1,0
43,119,26.941694,221.963058,1,1
44,112,45.214664,290.450714,1,0
45,76,23.648645,296.747742,1,1
46,115,43.052013,283.913483,1,0
47,121,32.871677,228.299149,1,1
48,142,40.248478,243.320007,1,0
49,115,14.218096,220.41246,1,1
50,130,55.894962,324.030792,1,0
51,116,42.465889,332.741241,1,1
52,153,52.799377,287.582245,1,0
53,124,45.106678,289.889679,1,1
54,168,67.495399,257.303802,1,0
55,123,42.654675,296.062683,1,1
56,108,49.104122,367.624084,1,0
57,100,37.096481,296.226257,1,1
58,101,46.448086,341.759369,1,0
59,108,27.19698,336.880981,1,1
60,110,48.168835,321.632904,1,0
61,102,31.760994,260.977875,1,1
62,132,66.92363,373.678741,1,0
63,95,12.781559,263.495087,1,1
64,145,64.599907,331.361145,1,0
65,98,27.362312,284.698212,1,1
66,137,54.762459,305.981384,1,0
67,107,29.916618,248.243271,1,1
68,123,71.887093,359.688171,1,0
69,88,-3.184159,242.705017,1,1
70,133,85.545792,390.009277,1,0
71,118,37.38044,276.037384,1,1
72,124,61.206238,364.192078,1,0
73,113,51.917885,215.360901,1,1
74,113,50.571938,314.178223,1,0
75,123,54.823952,314.739319,1,1
76,135,60.044998,330.325775,1,0
77,115,67.793839,288.854156,1,1
78,113,36.755363,315.794098,1,0
79,163,91.891975,346.793274,1,1
80,127,69.053635,309.336029,1,0
81,124,70.548088,304.376556,1,1
82,124,81.03923,367.261597,1,0
83,111,50.718601,276.195679,1,1
84,148,89.724464,346.254974,1,0
85,131,74.581314,305.476105,1,1
86,128,77.096184,384.716644,1,0
87,163,68.299103,267.677368,1,1
88,144,84.854736,304.993256,1,0
89,94,47.770123,270.790405,1,1
90,147,99.664864,358.866425,1,0
91,145,83.180786,322.80127,1,1
92,141,96.31308,382.358917,1,0
93,123,62.429863,288.469818,1,1
94,170,108.899567,357.595276,1,0
95,159,66.830048,199.530838,1,1
96,286,199.674789,386.324677,1,0
97,121,72.216362,312.7771,1,1
98,829,658.784241,460.129639,1,0
99,700,507.9151,398.519073,1,1
100,144,88.597733,351.997833,1,0
101,206,136.737335,311.288818,1,1
102,244,159.25563,386.750885,1,0
103,600,413.845612,369.087555,1,1
104,647,542.443848,490.641968,1,0
105,125,86.206741,339.659973,1,1
106,1100,932.060242,482.550354,1,0
107,93,69.584419,277.043152,1,1
108,1501,1395.509399,522.263245,1,0
109,83,54.425198,297.448242,1,1
110,894,849.974976,535.773926,1,0
111,810,725.45575,479.49588,1,1
112,645,556.643188,497.106964,1,0
113,495,455.084198,495.536438,1,1
114,1060,1025.338379,526.334412,1,0
115,605,563.455505,496.375519,1,1
116,212,195.266541,491.753021,1,0
117,2000,1998.674561,541.137146,0,1
118,2000,2034.072632,556.336792,0,0
119,1566,1544.104248,528.121155,1,1
120,1683,1769.992798,564.880737,1,0
121,2000,2174.33667,591.619141,0,1
122,2000,2065.012695,546.705566,0,0
123,2000,2191.162109,589.13031,0,1
124,2000,2082.472412,545.437317,0,0
125,2000,2224.73877,595.869629,0,1
126,2000,2159.553711,558.826355,0,0
127,2000,2225.843018,588.071716,0,1
128,2000,2103.394531,548.447937,0,0
129,2000,2226.446045,599.372498,0,1
130,2000,2148.25293,554.675842,0,0
131,2000,2142.814697,560.857178,0,1
132,2000,2160.605957,562.053345,0,0
133,2000,2251.445557,600.622253,0,1
134,2000,2120.705322,547.604431,0,0
135,2000,2202.37915,581.088623,0,1
136,2000,2103.393799,542.34668,0,0
137,2000,2219.732422,588.466064,0,1
138,2000,2155.022461,561.01239,0,0
139,2000,2207.159912,585.129456,0,1
140,2000,2130.597412,549.447632,0,0
141,2000,2154.354248,558.77655,0,1
142,753,757.237061,501.875946,1,0
143,1070,1075.101929,538.390869,1,1
144,1543,1605.526367,553.112,1,0
145,2000,2104.124512,543.011536,0,1
146,2000,2093.804199,539.052002,0,0
147,2000,2123.793701,556.946045,0,1
148,2000,2087.759521,535.629944,0,0
149,2000,2175.310303,563.053894,0,1
