Episode,numberSteps,totalReward,averageSpeed,gameEndedByCrush,IsClockwise
1,291,38.932487,107.706131,1,1
2,353,60.214874,112.602699,1,0
3,258,32.222248,132.277283,1,1
4,403,70.194641,109.175652,1,0
5,258,41.760967,127.540649,1,1
6,383,72.008041,124.469696,1,0
7,285,65.873474,107.942116,1,1
8,304,46.975697,130.664581,1,0
9,296,72.27224,131.950089,1,1
10,200,57.654621,209.878128,1,0
11,280,62.581703,133.417282,1,1
12,319,52.903713,138.317352,1,0
13,290,49.130924,122.139572,1,1
14,209,44.242088,156.698746,1,0
15,261,70.838135,121.580055,1,1
16,252,54.748535,180.05365,1,0
17,200,30.146477,138.8983,1,1
18,237,79.082161,207.382797,1,0
19,240,19.642071,119.253304,1,1
20,258,76.732834,175.93512,1,0
21,229,61.780762,166.268967,1,1
22,185,62.81781,241.964035,1,0
23,322,43.68166,105.602859,1,1
24,229,67.672752,201.324112,1,0
25,208,86.063675,183.316177,1,1
26,217,69.192833,225.671692,1,0
27,254,91.623337,138.760513,1,1
28,245,53.604042,158.681183,1,0
29,164,56.099236,234.370712,1,1
30,218,82.808716,221.408447,1,0
31,231,72.322212,124.330521,1,1
32,200,65.860985,220.819595,1,0
33,198,41.305992,130.626785,1,1
34,150,61.222565,164.247955,1,0
35,178,65.366516,153.486572,1,1
36,205,80.644745,211.199142,1,0
37,210,75.13427,138.300552,1,1
38,217,103.340843,238.668854,1,0
39,217,89.62429,162.165405,1,1
40,235,105.000237,226.155731,1,0
41,138,43.26836,191.692398,1,1
42,281,109.379463,188.457962,1,0
43,186,72.06884,178.218567,1,1
44,162,98.119019,289.022552,1,0
45,149,84.437927,256.072815,1,1
46,158,84.289658,285.962494,1,0
47,227,92.893738,137.836349,1,1
48,221,94.537346,233.564499,1,0
49,179,93.072655,215.57608,1,1
50,230,92.089981,229.008072,1,0
51,231,110.768776,153.107101,1,1
52,808,315.468628,136.550552,1,0
53,143,80.016701,259.743347,1,1
54,161,96.18512,318.43811,1,0
55,218,108.110825,199.048767,1,1
56,175,101.309395,295.759186,1,0
57,171,87.075935,239.635208,1,1
58,144,79.960236,275.960754,1,0
59,140,90.204521,308.186646,1,1
60,139,76.918472,307.533112,1,0
61,324,205.256058,309.935272,1,1
62,294,211.011978,380.173096,1,0
63,142,74.75721,246.356903,1,1
64,171,89.071609,263.157745,1,0
65,160,80.63459,216.855179,1,1
66,159,94.922302,294.048248,1,0
67,837,583.441895,350.423798,1,1
68,152,85.285675,269.145844,1,0
69,119,71.537781,271.099579,1,1
70,140,85.608482,303.789551,1,0
71,178,102.675873,236.234726,1,1
72,308,205.457535,365.459229,1,0
73,430,303.121368,355.733917,1,1
74,144,86.69883,360.68692,1,0
75,493,336.858276,319.30954,1,1
76,277,208.28743,390.110901,1,0
77,164,100.368408,271.980408,1,1
78,433,332.673798,392.47113,1,0
79,293,186.352432,316.240326,1,1
80,163,105.154449,314.416779,1,0
81,171,109.48246,284.004242,1,1
82,279,219.9039,378.152771,1,0
83,138,74.194099,239.49791,1,1
84,447,324.197723,368.924957,1,0
85,270,191.558212,362.306549,1,1
86,299,229.415604,396.446167,1,0
87,296,196.048492,296.20343,1,1
88,647,533.24054,443.445526,1,0
