Episode,numberSteps,totalReward,averageSpeed,gameEndedByCrush,IsClockwise
1,196,41.477856,169.458008,1,1
2,239,63.043808,212.553467,1,0
3,173,41.67099,173.947845,1,1
4,201,35.379463,147.196609,1,0
5,232,38.836346,151.778366,1,1
6,171,55.769123,233.166595,1,0
7,165,19.464628,156.589478,1,1
8,195,50.108414,179.988663,1,0
9,152,26.518269,160.335541,1,1
10,177,47.499584,240.363831,1,0
11,125,26.216616,187.467209,1,1
12,233,61.061661,191.586441,1,0
13,163,49.293934,216.610504,1,1
14,198,72.458717,218.671417,1,0
15,154,38.325039,182.778061,1,1
16,216,71.967476,225.206131,1,0
17,204,68.222801,180.816849,1,1
18,176,59.453224,236.539902,1,0
19,137,41.938152,215.082626,1,1
20,195,69.032822,250.191345,1,0
21,142,21.602884,188.497284,1,1
22,232,59.612663,216.143982,1,0
23,161,42.82058,216.780106,1,1
24,172,58.501209,280.276398,1,0
25,154,25.594933,180.915085,1,1
26,159,66.263794,281.393188,1,0
27,116,41.727604,240.802109,1,1
28,207,100.437881,261.625854,1,0
29,142,45.218178,224.060181,1,1
30,205,60.399811,227.468063,1,0
31,114,39.426849,223.704391,1,1
32,180,73.78801,256.004852,1,0
33,151,54.621384,230.76976,1,1
34,155,58.035095,253.311768,1,0
35,118,32.542217,234.22583,1,1
36,182,60.385963,251.749466,1,0
37,153,49.045116,203.472305,1,1
38,169,69.345802,260.362579,1,0
39,113,52.980637,288.648682,1,1
40,136,64.250977,294.767212,1,0
41,105,57.916466,295.794708,1,1
42,130,67.872528,333.744812,1,0
43,118,64.643379,263.949646,1,1
44,165,77.883186,296.140472,1,0
45,118,50.761292,244.387863,1,1
46,125,44.346096,309.056488,1,0
47,119,31.443535,203.150574,1,1
48,152,68.554512,262.134766,1,0
49,111,35.393002,200.291916,1,1
50,133,65.811317,271.838928,1,0
51,135,71.494827,275.539673,1,1
52,154,59.527092,291.826752,1,0
53,104,49.215672,260.899078,1,1
54,120,60.987495,286.120056,1,0
55,98,34.780273,231.168152,1,1
56,125,74.902481,320.535828,1,0
57,131,76.927437,283.110809,1,1
58,143,68.697136,293.280975,1,0
59,120,61.203613,247.313705,1,1
60,117,56.879078,317.683594,1,0
61,132,45.167614,194.220932,1,1
62,150,84.030403,328.806702,1,0
63,373,237.842926,389.837585,1,1
64,137,84.733078,371.662994,1,0
65,118,64.605545,286.229706,1,1
66,382,252.205872,377.636261,1,0
67,427,266.463013,342.592102,1,1
68,141,93.540054,326.325562,1,0
69,124,80.37886,322.293152,1,1
70,399,297.474396,403.842621,1,0
71,270,166.663086,346.229645,1,1
72,393,277.382446,405.924683,1,0
73,137,47.748581,190.983749,1,1
74,349,280.7854,451.118011,1,0
75,129,85.462585,343.402283,1,1
76,170,99.539459,370.645905,1,0
77,97,59.794205,304.349579,1,1
78,136,94.794357,367.109253,1,0
79,122,72.717552,311.193359,1,1
80,364,282.87149,435.436523,1,0
81,469,371.214447,438.581787,1,1
82,247,178.340729,407.462097,1,0
83,230,164.024353,397.204224,1,1
84,130,94.556549,380.494415,1,0
85,585,450.005341,445.348663,1,1
86,531,445.924011,468.915894,1,0
87,350,250.945663,398.002899,1,1
88,890,808.775757,526.355896,1,0
89,219,177.70282,399.960175,1,1
90,427,357.007507,472.838898,1,0
91,305,232.057663,424.735443,1,1
92,230,178.486206,441.185089,1,0
93,698,623.404419,477.80072,1,1
94,1441,1363.515625,536.655212,1,0
95,493,445.189301,487.151703,1,1
96,1425,1390.253052,547.454102,1,0
97,380,341.095093,494.873016,1,1
98,2000,2012.016113,559.00769,0,0
99,404,341.645874,432.526215,1,1
100,769,784.482056,544.00885,1,0
101,2000,2074.985107,565.743408,0,1
102,1343,1357.04541,549.020447,1,0
103,2000,2102.285645,576.192566,0,1
104,2000,2117.935547,572.267639,0,0
105,2000,2162.857178,580.17804,0,1
106,351,341.26355,482.306274,1,0
107,2000,2239.83667,614.268005,0,1
108,2000,2084.711182,545.307983,0,0
109,421,425.463776,528.064148,1,1
110,2000,2175.272461,579.736023,0,0
111,2000,2222.209229,593.604431,0,1
112,2000,2152.351807,561.67688,0,0
113,2000,2259.722656,606.761047,0,1
114,2000,2134.226074,560.312256,0,0
115,254,256.104065,477.192047,1,1
116,2000,2121.706055,558.203186,0,0
117,2000,2199.534424,577.416443,0,1
118,2000,2150.181396,567.940308,0,0
119,2000,2215.281982,582.690979,0,1
120,2000,2162.467773,569.834473,0,0
121,2000,2173.149658,562.625793,0,1
122,2000,2164.675049,566.286438,0,0
123,261,252.906403,459.180817,1,1
124,2000,2144.971191,568.786499,0,0
125,483,488.491577,509.791901,1,1
126,2000,2127.065918,551.734253,0,0
127,2000,2100.179688,541.840149,0,1
128,2000,2147.752686,562.776306,0,0
129,2000,2123.564453,552.531738,0,1
130,2000,2097.451416,549.275696,0,0
131,2000,2136.141357,557.421204,0,1
132,2000,2067.634766,534.217651,0,0
133,79,62.525955,192.542282,1,1
134,2000,2108.115234,549.807495,0,0
135,2000,2133.467285,552.684387,0,1
136,2000,2118.887207,555.294189,0,0
137,2000,2131.017334,543.858643,0,1
138,2000,2100.3479,546.42395,0,0
139,103,80.462219,160.561874,1,1
140,2000,2100.312256,540.307678,0,0
141,693,726.899475,521.200012,1,1
142,1533,1571.042114,535.336365,1,0
143,2000,2141.178711,551.540222,0,1
144,2000,2058.55542,522.477234,0,0
145,2000,2135.003662,539.801453,0,1
146,2000,2099.480957,540.890015,0,0
147,90,74.629974,248.02771,1,1
148,2000,2079.89624,535.197571,0,0
149,2000,2089.727295,527.062561,0,1
