Episode,numberSteps,totalReward,averageSpeed,gameEndedByCrush,IsClockwise
1,211,37.177944,162.023209,1,1
2,251,66.807716,197.613373,1,0
3,160,45.516796,188.617737,1,1
4,228,53.225555,179.217026,1,0
5,120,8.072883,163.457458,1,1
6,228,47.916584,167.833282,1,0
7,118,21.550226,187.020004,1,1
8,238,65.196098,190.539673,1,0
9,154,34.523884,205.210587,1,1
10,179,41.099339,209.908936,1,0
11,148,43.147064,182.610199,1,1
12,186,34.997105,185.89505,1,0
13,154,24.125957,157.033691,1,1
14,162,44.985741,218.031006,1,0
15,154,8.995014,139.968536,1,1
16,260,55.326706,190.776352,1,0
17,181,31.489754,164.59758,1,1
18,232,79.617004,206.447952,1,0
19,153,39.256844,188.961227,1,1
20,320,44.159962,135.459686,1,0
21,230,53.033798,135.329285,1,1
22,269,52.548855,145.303528,1,0
23,178,40.172188,200.158417,1,1
24,228,67.989853,169.083939,1,0
25,174,54.447544,206.111099,1,1
26,160,53.677582,246.421097,1,0
27,152,47.830643,206.119019,1,1
28,203,68.139755,238.968735,1,0
29,101,26.589985,240.654343,1,1
30,142,37.769199,243.206177,1,0
31,91,12.757271,247.301147,1,1
32,101,9.913985,199.485092,1,0
33,152,28.090305,180.917206,1,1
34,163,46.581753,237.461517,1,0
35,131,32.985241,244.479019,1,1
36,156,41.857357,236.262543,1,0
37,123,28.107319,214.355972,1,1
38,191,65.787178,258.520233,1,0
39,104,11.283588,214.827286,1,1
40,175,75.13636,256.314728,1,0
41,90,10.621946,219.111465,1,1
42,134,55.516811,278.788239,1,0
43,122,39.126801,207.710632,1,1
44,152,58.887981,272.688385,1,0
45,96,-1.741159,207.955002,1,1
46,155,69.22139,312.368835,1,0
47,78,3.910083,249.38269,1,1
48,179,79.032837,224.771042,1,0
49,90,9.787732,234.024933,1,1
50,148,52.803513,259.594482,1,0
51,111,25.043821,239.81897,1,1
52,129,54.482327,333.622314,1,0
53,103,9.643703,210.729462,1,1
54,115,35.887173,360.996979,1,0
55,95,29.875603,274.970093,1,1
56,127,38.760387,253.824203,1,0
57,109,28.437649,245.471298,1,1
58,141,59.14473,258.017578,1,0
59,88,15.629726,240.898041,1,1
60,145,49.548069,259.961304,1,0
61,120,53.903023,252.516602,1,1
62,139,55.396114,237.619827,1,0
63,97,16.620857,225.601578,1,1
64,125,57.530785,304.440857,1,0
65,95,34.735527,285.090332,1,1
66,147,65.187668,329.644928,1,0
67,123,62.86879,254.165939,1,1
68,134,78.412598,347.246796,1,0
69,112,61.909157,289.644073,1,1
70,123,64.207245,373.692993,1,0
71,126,66.139359,272.718262,1,1
72,146,47.900311,276.173737,1,0
73,107,57.060078,264.765198,1,1
74,133,52.491055,269.612122,1,0
75,114,59.539001,306.579285,1,1
76,110,33.932716,322.687256,1,0
77,128,75.059486,277.650421,1,1
78,121,64.637001,344.590515,1,0
79,113,70.468132,265.544556,1,1
80,132,62.861328,339.182922,1,0
81,108,67.312798,313.093353,1,1
82,128,55.01445,280.955017,1,0
83,130,43.547886,180.329041,1,1
84,126,73.472046,299.984436,1,0
85,115,61.588364,287.866608,1,1
86,123,67.345062,348.98584,1,0
87,138,81.999344,304.512268,1,1
88,164,85.421677,308.559906,1,0
89,142,70.457954,211.496689,1,1
90,153,85.364876,277.258759,1,0
91,203,84.720627,169.647614,1,1
92,149,79.853897,310.534485,1,0
93,118,67.538048,272.951447,1,1
94,124,71.477982,317.234344,1,0
95,475,334.799408,431.700073,1,1
96,136,83.848686,347.260956,1,0
97,277,174.037186,310.400421,1,1
98,487,303.867188,305.431122,1,0
99,595,448.131134,413.315033,1,1
100,129,76.024773,320.917694,1,0
101,83,47.549072,219.562836,1,1
102,122,72.847801,330.888153,1,0
103,127,67.218994,284.989777,1,1
104,600,457.354462,400.645142,1,0
105,1151,936.278809,438.581268,1,1
106,110,82.760811,345.200989,1,0
107,146,49.597385,171.030151,1,1
108,862,770.156006,483.984253,1,0
109,909,753.298035,435.332367,1,1
110,1330,1164.000732,476.318237,1,0
111,215,178.224792,365.663666,1,1
112,125,90.314888,377.584381,1,0
113,2000,1813.929688,479.065369,0,1
114,823,766.038879,491.811005,1,0
115,76,50.014431,200.407852,1,1
116,544,501.584473,481.205688,1,0
117,1799,1708.012207,503.550293,1,1
118,417,381.600922,484.653076,1,0
119,570,506.492065,428.579529,1,1
120,817,786.358276,510.719696,1,0
121,1036,1037.483154,523.507996,1,1
122,2000,1923.369873,500.135986,0,0
123,2000,2049.232666,531.515381,0,1
124,2000,2018.23291,519.467407,0,0
125,926,908.409302,521.210693,1,1
126,69,1.400221,131.335083,1,0
127,1893,1943.43457,526.794312,1,1
128,2000,2040.435791,521.617371,0,0
129,2000,2096.150146,541.32489,0,1
130,2000,2107.502441,534.451721,0,0
131,2000,2109.3479,538.873901,0,1
132,103,78.073593,290.486725,1,0
133,1658,1699.470459,514.726074,1,1
134,206,175.439575,389.713745,1,0
135,2000,2044.041748,515.672058,0,1
136,2000,2048.186768,516.243408,0,0
137,99,68.193604,159.06073,1,1
138,2000,2085.635986,521.418579,0,0
139,2000,2077.231689,527.966125,0,1
140,636,595.032227,491.420258,1,0
141,1344,1378.836792,525.362,1,1
142,2000,2078.457031,524.228516,0,0
143,2000,2091.615234,531.157654,0,1
144,1821,1864.536255,513.576355,1,0
145,1727,1789.863525,526.793274,1,1
146,2000,2050.185791,515.142944,0,0
147,2000,2104.518799,533.409729,0,1
148,2000,1972.192383,493.447449,0,0
149,2000,2065.372559,520.936279,0,1
150,2000,2018.236694,505.818054,0,0
