Episode,numberSteps,totalReward,averageSpeed,gameEndedByCrush,IsClockwise
1,236,18.113775,147.938858,1,1
2,211,66.002655,177.555435,1,0
3,245,63.533081,151.74472,1,1
4,217,54.233803,185.893066,1,0
5,185,62.836876,183.881989,1,1
6,189,45.791645,184.615952,1,0
7,204,51.772594,188.309143,1,1
8,224,60.548233,182.901627,1,0
9,211,60.638329,188.201736,1,1
10,232,44.717407,170.152252,1,0
11,217,83.568222,190.203461,1,1
12,157,64.77298,265.042358,1,0
13,193,61.685326,222.947372,1,1
14,159,31.964523,228.0,1,0
15,162,47.484093,217.805313,1,1
16,200,56.551819,201.659119,1,0
17,141,38.113888,250.689194,1,1
18,168,40.718456,199.012085,1,0
19,175,54.651886,238.816742,1,1
20,148,50.106319,220.915161,1,0
21,167,47.058266,251.033539,1,1
22,150,45.919479,212.482193,1,0
23,207,59.490448,189.042938,1,1
24,194,58.684391,211.128464,1,0
25,153,68.567841,256.661499,1,1
26,139,45.119236,225.404205,1,0
27,132,31.1716,259.474945,1,1
28,149,38.126362,240.667679,1,0
29,126,30.554222,227.154297,1,1
30,109,44.937447,286.422241,1,0
31,119,27.884022,244.841629,1,1
32,111,45.44886,278.562958,1,0
33,136,54.386158,232.645401,1,1
34,159,55.569649,201.426437,1,0
35,125,63.065147,274.515167,1,1
36,111,41.45586,321.897064,1,0
37,101,38.477097,313.682343,1,1
38,121,50.691982,307.070648,1,0
39,129,43.470173,287.808228,1,1
40,155,55.837299,277.955627,1,0
41,147,56.474857,272.467407,1,1
42,140,48.183273,298.265594,1,0
43,150,62.978699,259.325073,1,1
44,156,52.367451,258.750397,1,0
45,117,39.291878,292.547913,1,1
46,166,84.147568,257.025665,1,0
47,123,46.594635,278.913391,1,1
48,128,36.332054,237.763474,1,0
49,130,55.954823,292.167633,1,1
50,134,42.776585,264.555664,1,0
51,143,36.860485,266.622223,1,1
52,126,51.908825,302.697693,1,0
53,103,39.670086,306.675964,1,1
54,108,31.620155,273.720795,1,0
55,128,46.522659,251.012756,1,1
56,136,48.311962,257.113007,1,0
57,120,43.340958,264.746796,1,1
58,106,47.283867,303.064392,1,0
59,122,36.514347,264.710449,1,1
60,141,66.534737,282.705719,1,0
61,135,59.495094,299.708435,1,1
62,127,59.440643,266.411591,1,0
63,98,39.383854,303.926086,1,1
64,129,62.918777,244.206665,1,0
65,106,38.250465,290.372925,1,1
66,122,64.907928,278.512268,1,0
67,121,44.682426,330.033691,1,1
68,121,67.482704,314.100067,1,0
69,102,23.925499,297.252808,1,1
70,117,48.432053,305.199219,1,0
71,128,37.330376,318.453491,1,1
72,109,55.099819,310.72406,1,0
73,125,56.784409,291.357391,1,1
74,120,66.31012,320.46283,1,0
75,120,46.400997,291.385284,1,1
76,145,60.566422,256.983185,1,0
77,115,47.517788,324.310669,1,1
78,117,68.792076,314.426117,1,0
79,128,61.514427,325.736145,1,1
80,127,61.361847,246.453506,1,0
81,123,51.498375,281.596161,1,1
82,109,64.151093,326.328979,1,0
83,114,59.057091,340.684418,1,1
84,123,84.339592,349.007385,1,0
85,151,81.999489,292.28067,1,1
86,268,161.259933,367.072479,1,0
87,121,54.222118,328.860931,1,1
88,127,60.819405,268.134277,1,0
89,137,75.463127,265.017242,1,1
90,133,71.947296,280.940857,1,0
91,126,67.709869,300.146698,1,1
92,126,79.207176,311.639526,1,0
93,116,62.004364,334.842194,1,1
94,110,60.884041,321.627686,1,0
95,133,77.554863,324.338806,1,1
96,143,66.049477,232.609238,1,0
97,240,151.623108,357.709503,1,1
98,144,68.130913,265.440796,1,0
99,109,60.680199,295.146423,1,1
100,130,61.20787,291.573029,1,0
101,131,89.156624,354.250092,1,1
102,134,85.77874,332.328888,1,0
103,149,82.846703,357.584595,1,1
104,431,315.49115,409.654724,1,0
105,117,75.912224,340.550232,1,1
106,649,432.273651,386.372101,1,0
107,119,67.163963,339.22049,1,1
108,120,70.289261,339.057434,1,0
109,125,61.934166,259.52475,1,1
110,259,184.06189,382.392731,1,0
111,438,334.351227,462.481506,1,1
112,124,81.350891,316.687195,1,0
113,367,262.155182,406.919739,1,1
114,111,79.711571,330.990021,1,0
115,120,80.824966,359.735077,1,1
116,239,166.264542,378.397858,1,0
117,101,65.058685,320.955414,1,1
118,468,353.52301,433.310211,1,0
119,963,816.963623,484.411438,1,1
120,275,183.415405,360.848297,1,0
121,872,755.4245,483.232605,1,1
122,230,182.094009,404.031647,1,0
123,2000,1885.123413,521.561523,0,1
124,495,458.107483,489.299255,1,0
125,1581,1518.09082,522.864868,1,1
126,1538,1545.929077,550.958252,1,0
127,384,377.750519,522.15979,1,1
128,1642,1657.039551,558.362488,1,0
129,658,650.701477,525.323975,1,1
130,718,720.669556,528.515991,1,0
131,286,272.845367,482.709686,1,1
132,2000,2086.104004,554.802246,0,0
133,2000,2114.767578,567.78302,0,1
134,2000,2088.01709,548.558716,0,0
135,274,244.107422,453.858398,1,1
136,2000,2096.734619,549.967224,0,0
137,851,863.198486,544.932678,1,1
138,259,175.064636,413.335876,1,0
139,2000,2174.893311,601.246826,0,1
140,446,422.087891,480.590149,1,0
141,2000,2184.943848,578.223145,0,1
142,2000,2157.585938,559.542603,0,0
143,2000,2252.926025,606.91394,0,1
144,2000,2107.570068,555.585388,0,0
145,531,511.467957,498.174377,1,1
146,2000,2083.982666,532.491394,0,0
147,2000,2248.185059,603.092346,0,1
148,2000,2124.731934,554.516296,0,0
149,2000,2230.868408,598.782715,0,1
