Episode,numberSteps,totalReward,averageSpeed,gameEndedByCrush,IsClockwise
1,225,47.770149,147.705795,1,1
2,187,39.624249,173.804611,1,0
3,192,51.861824,181.27626,1,1
4,248,54.169682,179.22435,1,0
5,227,61.408249,176.81694,1,1
6,207,39.783764,187.887177,1,0
7,196,69.654678,199.58873,1,1
8,187,62.182281,185.617188,1,0
9,237,69.286339,184.860962,1,1
10,196,51.261265,173.545135,1,0
11,177,56.066002,236.530151,1,1
12,186,56.096081,211.56926,1,0
13,157,38.747654,211.117691,1,1
14,205,68.838127,221.666504,1,0
15,209,60.680611,193.939682,1,1
16,167,62.34713,203.275665,1,0
17,184,70.835602,186.969299,1,1
18,193,57.823135,222.376053,1,0
19,152,35.908596,218.994781,1,1
20,148,67.812569,255.860489,1,0
21,138,54.359325,238.657242,1,1
22,167,45.379734,215.98288,1,0
23,172,51.471272,243.810638,1,1
24,139,41.449535,225.099152,1,0
25,138,45.065956,236.0923,1,1
26,150,35.138069,220.998093,1,0
27,168,52.322098,207.728592,1,1
28,164,35.080605,196.961838,1,0
29,157,47.866623,273.477875,1,1
30,150,52.682919,228.182709,1,0
31,153,62.821083,260.398438,1,1
32,168,56.436169,259.151978,1,0
33,142,50.526035,243.177536,1,1
34,147,48.788544,245.099945,1,0
35,141,55.928028,285.967651,1,1
36,164,48.963337,258.461182,1,0
37,150,68.007248,257.272186,1,1
38,124,54.365143,273.053284,1,0
39,120,42.111202,258.108521,1,1
40,140,44.472378,256.919586,1,0
41,123,49.500774,323.448669,1,1
42,116,44.807125,240.473801,1,0
43,132,43.157848,274.471863,1,1
44,148,48.474163,246.840714,1,0
45,134,54.092201,278.067902,1,1
46,144,70.952423,296.441833,1,0
47,120,50.060467,238.883575,1,1
48,114,56.800423,326.529572,1,0
49,133,40.984676,248.523849,1,1
50,123,41.296162,237.312714,1,0
51,132,35.539707,271.852203,1,1
52,153,76.85762,265.622742,1,0
53,114,48.955673,318.952026,1,1
54,133,59.531288,252.402496,1,0
55,146,64.240135,239.151733,1,1
56,162,82.121048,314.770691,1,0
57,143,22.696501,226.302658,1,1
58,149,97.011162,352.532227,1,0
59,141,62.934578,265.776306,1,1
60,121,55.5975,339.140656,1,0
61,148,62.388504,282.446991,1,1
62,136,81.884499,337.305603,1,0
63,131,81.015198,335.535583,1,1
64,153,86.024895,293.712585,1,0
65,181,31.329189,172.897995,1,1
66,139,36.277443,218.684235,1,0
67,167,36.945805,263.489105,1,1
68,137,45.921486,247.261322,1,0
69,122,45.915886,250.438873,1,1
70,61,17.518003,214.961487,1,0
71,135,48.953575,307.766449,1,1
72,136,50.244652,306.039856,1,0
73,105,45.748108,339.356873,1,1
74,119,34.46917,329.179382,1,0
75,112,63.584114,343.375275,1,1
76,116,75.383362,307.748016,1,0
77,132,73.559738,332.568756,1,1
78,145,50.451283,251.641479,1,0
79,156,61.729385,232.076096,1,1
80,156,61.832939,232.932693,1,0
81,102,49.056358,318.682434,1,1
82,118,36.774563,267.422455,1,0
83,128,56.614082,316.978027,1,1
84,122,75.588745,325.281006,1,0
85,294,167.362961,338.917236,1,1
86,142,72.99025,272.321198,1,0
87,127,71.436554,293.337616,1,1
88,121,66.268562,295.192017,1,0
89,147,75.200195,326.561615,1,1
90,121,57.451225,311.301544,1,0
91,124,69.818016,309.904541,1,1
92,117,72.070335,344.052979,1,0
93,143,78.139732,328.146545,1,1
94,392,288.172974,404.650238,1,0
95,494,338.912964,432.335327,1,1
96,140,64.211052,307.957733,1,0
97,350,256.888397,419.127045,1,1
98,860,677.791382,452.184021,1,0
99,126,60.266708,343.52066,1,1
100,1282,1068.531128,468.473633,1,0
101,574,483.462463,473.224792,1,1
102,490,403.999329,464.418427,1,0
103,229,174.103806,425.830322,1,1
104,588,490.139771,456.677551,1,0
105,95,61.841766,247.493958,1,1
106,114,67.938568,294.398376,1,0
107,742,681.235046,513.677612,1,1
108,250,188.985764,385.918488,1,0
109,1832,1768.288696,545.070801,1,1
110,2000,2018.719971,562.760376,0,0
111,1125,1121.800781,556.313354,1,1
112,73,-19.056164,108.952255,1,0
113,1459,1524.047241,578.80481,1,1
114,1055,1062.656738,558.577271,1,0
115,1264,1332.118408,583.641296,1,1
116,1182,1250.485474,570.688477,1,0
117,2000,2210.014893,611.007812,0,1
118,2000,2011.532349,534.367188,0,0
119,878,938.96106,577.499146,1,1
120,364,358.953918,499.054443,1,0
121,386,335.004181,486.062164,1,1
122,2000,2169.680176,577.638916,0,0
123,2000,2268.795654,611.846741,0,1
124,2000,2188.598877,579.000427,0,0
125,2000,2224.585938,604.042786,0,1
126,2000,2154.322754,556.911499,0,0
127,2000,2302.168213,627.635071,0,1
128,2000,2152.871582,568.385193,0,0
129,1332,1451.891602,584.777832,1,1
130,2000,2129.973389,555.435486,0,0
131,1132,1208.554077,567.00592,1,1
132,2000,2141.036621,570.368164,0,0
133,2000,2223.668213,607.534607,0,1
134,2000,2125.744873,555.172119,0,0
135,194,179.581467,447.61554,1,1
136,2000,2161.139404,570.76947,0,0
137,2000,2207.254639,594.278625,0,1
138,2000,2170.652588,567.326599,0,0
139,1134,1223.195679,585.449158,1,1
140,2000,2079.833496,539.567261,0,0
141,2000,2215.893555,595.096558,0,1
142,2000,2103.440918,552.520508,0,0
143,2000,2227.445557,599.62323,0,1
144,2000,2124.914795,547.357117,0,0
145,2000,2187.772461,572.484436,0,1
146,2000,2142.412109,556.354614,0,0
147,2000,2209.861572,581.480774,0,1
148,106,81.015671,384.60376,1,0
149,2000,2159.673096,564.186035,0,1
