Episode,numberSteps,totalReward,averageSpeed,gameEndedByCrush,IsClockwise
1,179,31.440929,139.699921,1,1
2,257,67.971642,194.940704,1,0
3,183,24.911421,140.190002,1,1
4,194,48.108028,219.085602,1,0
5,149,36.153316,180.096909,1,1
6,194,47.273693,212.366241,1,0
7,160,53.403858,195.312103,1,1
8,199,66.187752,213.219482,1,0
9,176,57.71452,198.049011,1,1
10,234,53.237614,195.621735,1,0
11,172,21.439829,142.419907,1,1
12,218,79.757973,212.738831,1,0
13,149,18.41604,176.550827,1,1
14,207,55.306618,187.847733,1,0
15,179,46.297241,195.074966,1,1
16,169,61.225365,279.858429,1,0
17,160,38.615669,176.514999,1,1
18,175,59.100342,232.567719,1,0
19,139,42.165836,226.598999,1,1
20,181,67.488251,258.699921,1,0
21,103,25.480616,232.925995,1,1
22,192,55.954647,233.350845,1,0
23,156,47.882236,201.44516,1,1
24,138,49.144768,267.109894,1,0
25,141,11.987913,166.490677,1,1
26,143,35.12257,210.821854,1,0
27,115,26.035877,227.509308,1,1
28,177,71.073959,291.097687,1,0
29,141,25.664444,203.348938,1,1
30,150,37.913288,245.015579,1,0
31,166,47.670872,215.101166,1,1
32,167,63.125214,256.1586,1,0
33,126,52.223457,290.701569,1,1
34,146,53.056252,295.009216,1,0
35,133,18.642431,202.119095,1,1
36,175,70.856934,288.741974,1,0
37,131,25.656233,203.395111,1,1
38,141,70.24688,301.451904,1,0
39,132,47.669033,238.931671,1,1
40,163,67.601379,306.004852,1,0
41,107,32.188335,247.022766,1,1
42,157,54.443241,273.667511,1,0
43,121,49.686081,232.80162,1,1
44,154,50.045856,310.174103,1,0
45,124,45.430492,274.901764,1,1
46,157,67.340492,306.320404,1,0
47,118,33.085552,264.303864,1,1
48,166,63.951302,284.756165,1,0
49,130,62.673103,224.233307,1,1
50,154,73.858994,325.394012,1,0
51,120,41.681473,204.170547,1,1
52,125,57.36367,332.873352,1,0
53,104,46.476166,279.280334,1,1
54,109,53.12199,346.02002,1,0
55,115,68.945335,289.253662,1,1
56,134,65.454987,358.943024,1,0
57,112,70.622292,337.829559,1,1
58,149,71.985428,307.854034,1,0
59,106,36.994019,250.68161,1,1
60,116,54.155922,318.851746,1,0
61,107,35.008747,251.08374,1,1
62,134,62.388748,353.024139,1,0
63,125,73.788933,292.75412,1,1
64,121,53.784191,336.599182,1,0
65,191,84.047325,238.429092,1,1
66,144,58.597549,332.529205,1,0
67,106,45.48048,253.210876,1,1
68,144,67.936432,329.052979,1,0
69,150,54.687233,245.389221,1,1
70,131,56.544674,305.548981,1,0
71,154,86.344566,283.446899,1,1
72,96,36.171375,338.280914,1,0
73,116,54.817394,269.002869,1,1
74,137,62.290268,318.073517,1,0
75,149,89.40892,273.458984,1,1
76,119,71.579109,397.127747,1,0
77,255,144.420319,371.196625,1,1
78,134,81.566467,356.660217,1,0
79,128,74.71199,308.779968,1,1
80,125,63.930336,337.223389,1,0
81,102,59.006836,293.951813,1,1
82,118,71.160629,321.11554,1,0
83,248,139.191711,368.020142,1,1
84,141,96.187592,360.112213,1,0
85,139,72.894287,285.238586,1,1
86,147,83.802673,337.506805,1,0
87,616,432.728973,402.447632,1,1
88,148,85.561241,319.139862,1,0
89,73,37.185966,173.393875,1,1
90,128,73.396973,346.713226,1,0
91,247,159.082794,341.810272,1,1
92,100,18.246565,235.503128,1,0
93,120,62.137032,246.834549,1,1
94,130,75.807419,353.894379,1,0
95,119,47.595245,281.16745,1,1
96,127,75.428635,338.571564,1,0
97,80,45.981495,146.57338,1,1
98,143,77.882996,333.881744,1,0
99,223,148.376099,308.658081,1,1
100,409,281.682434,403.469971,1,0
101,328,198.955505,346.374298,1,1
102,113,78.544899,385.196075,1,0
103,94,63.131203,177.577209,1,1
104,134,94.915924,355.0755,1,0
105,832,713.811157,468.456848,1,1
106,126,94.531784,367.84024,1,0
107,255,166.123383,327.78241,1,1
108,236,180.214294,414.34845,1,0
109,485,356.261169,413.630096,1,1
110,117,88.722748,371.542694,1,0
111,88,60.855301,230.036575,1,1
112,166,84.919113,295.991425,1,0
113,550,435.405762,448.739929,1,1
114,940,846.708313,516.28772,1,0
115,948,910.289917,532.350769,1,1
116,481,468.923706,549.238281,1,0
117,322,268.835999,426.60025,1,1
118,878,848.908813,539.783325,1,0
119,426,376.106293,469.790222,1,1
120,120,93.53038,384.806244,1,0
121,469,442.847748,498.943054,1,1
122,2000,2017.707642,562.753967,0,0
123,202,180.02887,428.303833,1,1
124,2000,2093.866699,576.634583,0,0
125,2000,2045.797852,558.598938,0,1
126,2000,2087.031738,568.316101,0,0
127,2000,2164.094727,588.297424,0,1
128,2000,2097.365234,564.281921,0,0
129,2000,2160.567871,577.53479,0,1
130,2000,2155.920898,571.260437,0,0
131,2000,2180.030273,573.615234,0,1
132,2000,2181.741211,575.020325,0,0
133,92,73.430923,232.886948,1,1
134,2000,2170.172852,578.435913,0,0
135,2000,2228.983643,596.142334,0,1
136,2000,2127.870605,552.534607,0,0
137,944,971.694458,536.026672,1,1
138,2000,2186.634277,582.917786,0,0
139,2000,2193.347168,572.822937,0,1
140,2000,2153.695557,564.897827,0,0
141,86,72.949844,264.992432,1,1
142,609,625.179993,539.443542,1,0
143,2000,2115.83252,553.916687,0,1
144,285,188.82489,364.593964,1,0
145,135,96.835358,319.938324,1,1
146,2000,2110.431396,549.615967,0,0
147,2000,2163.652832,558.97699,0,1
148,2000,2133.189941,557.144775,0,0
149,2000,2182.789551,566.14563,0,1
