Episode,numberSteps,totalReward,averageSpeed,gameEndedByCrush,IsClockwise
1,197,43.946712,140.85495,1,1
2,178,56.685646,215.190552,1,0
3,198,49.480434,170.128143,1,1
4,174,40.104183,198.017914,1,0
5,184,47.086937,209.886078,1,1
6,232,47.109707,163.779434,1,0
7,179,45.194511,169.602509,1,1
8,200,48.121925,186.389145,1,0
9,137,47.715458,211.148575,1,1
10,164,44.406898,207.638428,1,0
11,143,20.729534,197.00296,1,1
12,165,59.313393,217.930984,1,0
13,199,54.690189,190.962082,1,1
14,222,90.964157,188.714935,1,0
15,170,50.553493,211.945267,1,1
16,196,65.112183,196.793015,1,0
17,216,68.44178,158.262955,1,1
18,162,55.855804,195.675217,1,0
19,242,65.381477,165.641022,1,1
20,174,49.306133,198.562866,1,0
21,170,47.878418,188.779724,1,1
22,168,64.714302,212.778107,1,0
23,144,41.246883,256.372131,1,1
24,179,46.470631,195.714844,1,0
25,186,39.357784,146.128342,1,1
26,150,55.182384,250.992813,1,0
27,156,38.329258,219.53331,1,1
28,176,56.682194,202.453033,1,0
29,167,56.996658,223.518524,1,1
30,153,60.713638,207.517303,1,0
31,173,61.753838,225.61409,1,1
32,182,41.776085,207.117935,1,0
33,327,170.63385,285.308563,1,1
34,187,80.231186,215.195999,1,0
35,167,55.189571,225.509842,1,1
36,154,22.797647,187.729279,1,0
37,160,53.366837,190.733307,1,1
38,154,55.070328,236.633118,1,0
39,142,65.342239,237.820251,1,1
40,164,72.520538,250.960892,1,0
41,146,66.385422,251.077988,1,1
42,140,74.01992,287.384979,1,0
43,136,60.055168,220.468567,1,1
44,145,59.56501,234.456573,1,0
45,228,86.525208,175.626373,1,1
46,186,82.029678,216.327637,1,0
47,327,121.699188,137.803482,1,1
48,333,147.000473,245.157913,1,0
49,186,89.203156,237.570312,1,1
50,185,71.54512,171.912231,1,0
51,129,50.229023,253.095505,1,1
52,165,58.364761,228.36499,1,0
53,144,62.481056,206.194122,1,1
54,142,71.17627,276.933014,1,0
55,859,473.469971,294.080688,1,1
56,566,334.7117,331.749603,1,0
57,278,167.47493,334.74942,1,1
