Episode,numberSteps,totalReward,averageSpeed,gameEndedByCrush,IsClockwise
1,388,84.514107,102.928047,1,1
2,316,82.038528,140.227554,1,0
3,288,22.395803,121.32795,1,1
4,252,67.422989,179.315414,1,0
5,301,63.948418,127.988373,1,1
6,300,64.008347,107.905624,1,0
7,203,36.634407,162.561295,1,1
8,288,74.974892,132.618958,1,0
9,306,80.995674,148.463028,1,1
10,279,55.41555,148.913406,1,0
11,250,43.555016,129.064636,1,1
12,393,54.769238,106.554756,1,0
13,329,66.207588,113.880142,1,1
14,223,64.916878,198.550095,1,0
15,441,56.589298,101.289787,1,1
16,243,74.392677,189.264542,1,0
17,365,48.159328,109.669754,1,1
18,353,105.661911,122.83931,1,0
19,340,90.573204,130.083481,1,1
20,238,72.431938,154.052429,1,0
21,297,66.643753,146.95961,1,1
22,208,75.980255,192.600662,1,0
23,175,64.132751,225.262619,1,1
24,326,98.535881,139.544647,1,0
25,234,73.072334,170.461807,1,1
26,304,103.540283,146.436127,1,0
27,250,95.152191,156.781952,1,1
28,273,86.741196,128.070648,1,0
29,299,73.7286,130.043381,1,1
30,274,99.207794,146.118362,1,0
31,173,71.114586,233.077011,1,1
32,133,50.996223,273.774261,1,0
33,134,65.549088,284.85144,1,1
34,172,67.664635,212.180847,1,0
35,329,152.244934,289.532562,1,1
36,116,49.928669,192.093521,1,0
37,288,169.586884,261.149231,1,1
38,88,57.328316,201.818298,1,0
39,109,27.481293,150.75885,1,1
40,182,71.656624,210.450684,1,0
41,117,57.118237,217.253754,1,1
42,114,54.805599,260.301483,1,0
43,143,66.926842,253.232025,1,1
44,125,64.947227,268.411621,1,0
45,310,178.448807,325.063507,1,1
46,153,70.857674,304.473724,1,0
47,439,283.496155,378.89859,1,1
48,313,182.706741,328.144318,1,0
49,68,41.033329,201.549057,1,1
50,135,75.066986,328.270111,1,0
51,787,555.781372,400.236816,1,1
52,897,590.04126,365.303955,1,0
53,246,150.342026,302.253448,1,1
54,399,245.721207,322.261444,1,0
55,541,367.538391,388.140808,1,1
56,257,186.113678,398.536652,1,0
57,1653,1349.75061,461.41745,1,1
58,625,492.570038,410.771759,1,0
59,386,268.731903,358.921783,1,1
60,203,144.833786,344.08432,1,0
61,567,459.805237,435.770813,1,1
62,316,267.467102,453.973358,1,0
63,574,467.878815,445.974762,1,1
64,1378,1258.18042,492.223724,1,0
65,2000,1886.311768,518.905579,0,1
66,2000,1919.863037,540.48114,0,0
67,529,468.190155,451.212311,1,1
68,209,180.091736,395.63446,1,0
69,2000,1967.348022,530.523376,0,1
70,681,661.594604,515.18512,1,0
71,2000,2043.344604,545.123474,0,1
72,958,980.135315,556.321777,1,0
73,2000,2100.879639,559.539978,0,1
74,880,868.588135,500.681427,1,0
75,571,564.497253,493.598907,1,1
76,800,820.06073,540.46051,1,0
77,427,357.153259,394.042053,1,1
78,80,43.33881,204.480545,1,0
79,118,28.060848,271.784271,1,1
80,164,7.772221,113.957123,1,0
81,2000,2034.796753,536.74884,0,1
82,274,254.244232,499.924683,1,0
83,2000,2142.289062,566.593872,0,1
84,2000,2161.125488,572.062012,0,0
85,2000,2217.337891,587.61853,0,1
86,2000,2129.2771,560.489258,0,0
87,2000,2150.196289,573.098328,0,1
88,2000,2097.538574,546.220337,0,0
